Name;Price;Description
Asam padeh;45000;sour and spicy fish stew dish
Ayam bakar;40000;grilled spicy chicken
Ayam balado;42000;chicken in chili
Ayam bumbu;41000;chicken with spices
Ayam goreng;38000;fried chicken with spicy granules
Ayam lado ijo;42000;chicken in green chili
Ayam percik;45000;grilled chicken with a spicy, curry-like sauce
Ayam pop goreng;43000;Padang-style chicken, boiled/steamed and later fried, While fried chicken is golden brown, ayam pop is light-colored
Ayam pop rebus;43000;Padang-style chicken, boiled/steamed.
Sambalado;20000;chili paste similar to sambal with large sliced chili pepper, usually stir fried together with main ingredients
Lado ijo;15000;a variant of green chili sambal with fried anchovies or shrimp
Baluik goreng;35000;crispy fried small freshwater eel
Bubur kampiun;18000;porridge made from rice flour mixed with brown sugar
Cumi saus padang;45000;squid cooked in a spicy Padang-style sauce of chili, garlic, and spices
Daun ubi tumbuk;20000;cassava leaves in coconut milk
Dendeng;50000;thinly sliced dried meat
Dendeng balado;52000;thin crispy beef with chili
Dendeng batokok;55000;thin strips of pounded and softened grilled beef 
Gulai daging;40000;curry dish with main ingredients beef and unripe jackfruit
Gulai sayua;30000;curry dish with main ingredients vegetables such as cassava leaves and unripe jackfruit
Gulai ati;35000;gulai of cow liver
Gulai ayam;39000;chicken gulai
Gulai babek;37000;gulai babat, or gulai paruik kabau, gulai of cow tripes
Gulai banak;37000;gulai of cow brain
Gulai cancang;40000;gulai of meats and cow internal organs
Gulai gajeboh;36000;cow fat gulai
Gulai tambusu;38000;gulai of cow intestines usually filled with eggs and tofu
Gulai itik;45000;duck gulai
Gulai jariang;34000;jengkol stinky bean gulai
Gulai kepala ikan;48000;fish head gulai
Gulai kambiang;55000;mutton gulai
Gulai kepala ikan kakap merah;50000;red snapper's head gulai
Gulai limpo;36000;gulai of cow spleen
Gulai sumsum;37000;gulai of cow bone marrow
Gulai tunjang;36000;gulai of cow foot tendons
Gulai talua;30000;boiled eggs gulai
Gulai udang;48000;shrimp gulai
Gulai paku;25000;fern gulai
Ikan bilih;38000;fried small freshwater fish of the genus Mystacoleucus
Kalio;45000;"similar to rendang; while rendang is rather dry, kalio is watery and light-colored"
Kepiting saus padang;75000;seafood dish of crab served in hot and spicy Padang sauce
Ketupat;12000;rice dumpling made from rice packed inside a diamond-shaped container of woven palm leaf pouch
Lele goreng;30000;fried catfish
Lemang;25000;a mixture of sticky rice with coconut milk and pandan in thin bamboo (talang)
Martabak;60000;stuffed pancake or pan-fried bread, sometimes filled with beef and scallions
