Ingredient,Foods
Cassava,"['Daun ubi tumbuk', 'Keripik balado', 'Keripik sanjai']"
Fish (snapper,['Ikan Panggang']
Fish (catfish or mackerel),['Pangek Masin']
cumin,"['Ayam bumbu', 'Martabak']"
Shallots,"['Lado Ijo', 'Cumi Saus Padang', 'Kalio Ayam', 'Udang Saus Padang']"
ice,"['Es ampiang dadiah', 'Cindua', 'Es campur', 'Es tebak']"
thick sauce (rice Flour-based),['Sate padang']
coconut,"['Ayam bumbu', 'Ayam percik', 'Ayam pop goreng', 'Ayam pop rebus', 'Bubur kampiun', 'Daun ubi tumbuk', 'Gulai daging', 'Gulai ati', 'Gulai ayam', 'Gulai babek', 'Gulai banak', 'Gulai cancang', 'Gulai gajeboh', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai sumsum', 'Gulai tunjang', 'Gulai talua', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Lemang', 'Nasi kari or nasi gulai', 'Palai', 'Rendang', 'Roti jala', 'Sambal lado tanak', 'Galamai', 'Kue putu', 'Lupis', 'Pinyaram', 'Serabi', 'Lopek sarikayo', 'Wajik', 'Gulai sayua', 'Ayam Gulai Nangka', 'Pangek Masin']"
salt.,['Pangek Masin']
Meat,"['Gulai daging', 'Gulai cancang', 'Sate padang', 'Soto']"
Rice Flour,"['Bubur kampiun', 'Galamai', 'Kue putu', 'Pinyaram', 'Serabi', 'Cindua']"
Eggplant,['Terong balado']
rice Flour,['Es ampiang dadiah']
broth (spices like turmeric,['Soto']
Palm sugar,['Es Cendol']
Lime juice,"['Lado Ijo', 'Cumi Saus Padang', 'Udang Saus Padang']"
shallots,"['Asam padeh', 'Ayam bakar', 'Ayam balado', 'Ayam bumbu', 'Ayam lado ijo', 'Ayam pop goreng', 'Ayam pop rebus', 'Sambalado', 'Daun ubi tumbuk', 'Dendeng balado', 'Gulai daging', 'Gulai ati', 'Gulai ayam', 'Gulai babek', 'Gulai banak', 'Gulai gajeboh', 'Gulai kepala ikan', 'Gulai limpo', 'Gulai sumsum', 'Gulai talua', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Kepiting saus padang', 'Martabak kubang', 'Nasi kari or nasi gulai', 'Palai', 'Pergedel jaguang', 'Rendang', 'Sambal lado tanak', 'Satay ayam', 'Satay daging', 'Sate padang', 'Soto padang', 'Talua balado', 'Terong balado', 'Udang balado', 'Keripik balado', 'Gulai sayua', 'Jariang lado tomat', 'Ikan Panggang', 'Ayam Cabe Merah', 'Sambal Teri', 'Pangek Masin']"
onion,"['Nasi briyani', 'Ayam kurma']"
sugar.,"['Ayam Cabe Merah', 'Sambal Teri']"
shaved ice,"['Es ampiang dadiah', 'Cindua', 'Es campur']"
Prawns,['Udang Saus Padang']
Turmeric,['Kalio Ayam']
Cow brain,['Gulai banak']
Coconut milk,"['Kalio Ayam', 'Kacang Tojin', 'Es Cendol']"
Ice cubes,['Es Cendol']
