Restaurant Name,Address,Type of Cuisine,District,Src,Link Foto Restaurant
Lamun Ombak,"Jl. Khatib Sulaiman No.99, Padang",Minangkabau,Padang Utara,,https://minangkabau-airport.co.id/userdata/pariwisata/ads5a027c169c4bc.jpg
Restoran Sederhana,"Jl. Rasuna Said No.81A, Rimbo Kaluang, Padang",Minangkabau,Padang Barat,,https://fastly.4sqi.net/img/general/600x600/12734647_gjA_ViFEs186XqfcoxGGr8BLRDV7i2NufmDb0E0BTig.jpg
RM Pauh Piaman,"Jl. Bandar Purus No. 29, Padang",Minangkabau,Padang Utara,,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/c8851c45-77c4-4c73-bf0f-e7db6934192b.jpg
LALADO Resto Padang,"Jl. Veteran No.52, Padang Pasir, Padang",Minangkabau,Padang Barat,,https://lh3.googleusercontent.com/p/AF1QipPzZMp6eMFr0EfLnG8yoKbuECvTguGXvPWByBVo=s1360-w1360-h1020
Simpang Raya,"Jl. Bundo Kanduang No.20, Padang",Minangkabau,Lubuk Kilangan,khansa,https://lh3.googleusercontent.com/p/AF1QipMoQJFIf3OYPayh3G5tlxfcVG3-dRzcLm5nNicY=s1360-w1360-h1020
Pagi Sore,"Jl. Pondok No. 143, Padang",Minangkabau,Padang Barat,,https://lh3.googleusercontent.com/p/AF1QipPnRTwAUA2u2RmeR8LBzhCnJypZgAmLF7tC2v3g=s1360-w1360-h1020
Resto Selamat,"Jl. Pasar Raya No.7, Padang",Minangkabau,Padang Barat,,https://lh3.googleusercontent.com/p/AF1QipNR0yoEWqCHEP--Z54avLVxK-yS5O--sGXGFjbL=s1360-w1360-h1020
Lapau Nasi Mama Andalas,"Jl. Andalas Timur Raya Jl. Andalas No.71, Padang",Minangkabau,Padang Timur,,https://lh3.googleusercontent.com/p/AF1QipM6upe7TDSHgRymlexzlrDNe4hQyapYejmp_Mex=s1360-w1360-h1020
Rumah Makan Ampera Padi Rimbun,"Jl. Andalas No.9, Padang",Minangkabau,Kuranji,,https://lh3.googleusercontent.com/p/AF1QipOTDBXO7_66k4x5r3gN8YnrQEF_1i6KZa_eshP-=s1360-w1360-h1020
Restoran Soto Garuda,"Jl. S. Parman No.110, Padang",Minangkabau,Padang Utara,,https://lh3.googleusercontent.com/p/AF1QipMaf1P8Ob1gE_16cNYdWpxo5eS4n8pLsirI9U8m=s1360-w1360-h1020
RM Ampalu Raya,"Jl. Permindo No.61c, Padang",Minangkabau,Padang Barat,,https://lh3.googleusercontent.com/p/AF1QipMyWxn6HobEPC4Nzrz960NdafLwvlXD3CBZH4Am=s1360-w1360-h1020
Rumah Makan Sederhana,"Jl. By Pass No.Km.8, Padang",Minangkabau,Kuranji,,https://lh5.googleusercontent.com/p/AF1QipPtpbCSHtJLzFdtjhVord-Sa5oSAwIK2_jh76Uj=w408-h306-k-no
Rumah Makan Bahagia,"Jl. Ujung Gurun No.91A, Padang",Minangkabau,Padang Barat,,https://lh3.googleusercontent.com/p/AF1QipMz5WDyQagjEvQPi4RY7A5ntvVCNkaQN2lTK_5U=s1360-w1360-h1020
Rumah Makan Sepakat,"Jl. By pass No.km 11, Padang",Minangkabau,Kuranji,,https://lh3.googleusercontent.com/p/AF1QipOZzSUwyh_jQIc1ux7CXuEQnNP0R9MKYhFKlm4u=s1360-w1360-h1020
Rumah Makan Sinar Padang,"Jl. Moh. Thamrin, Alang Laweh, Padang",Minangkabau,Padang Selatan,,https://lh3.googleusercontent.com/p/AF1QipNPuzmnTMpajK5eViPxyVh4K1MV2HtIKRoreb4=s1360-w1360-h1020
